anger;anticipation;disgust;fear;joy;sadness;surprise;trust;negative;positive;word_count;char_count;num_unique_words;Gender
0;1;0;1;1;0;1;2;1;2;23;105;20;F
0;0;1;0;0;0;1;0;2;0;10;51;8;F
1;0;0;1;0;1;0;1;1;2;15;96;14;F
0;0;0;0;0;0;0;1;1;1;13;73;11;F
0;0;0;0;0;0;0;0;0;0;8;28;5;F
0;0;0;0;0;0;0;1;0;0;19;104;16;F
0;0;0;0;0;0;0;0;0;0;10;52;7;F
0;0;0;0;0;0;0;0;0;0;13;77;9;F
0;0;0;0;0;0;0;0;0;0;20;114;17;F
1;0;0;1;0;1;0;0;3;0;16;88;14;F
0;1;0;1;0;1;1;1;1;1;14;60;12;F
0;0;0;0;0;0;0;1;0;1;6;31;4;F
1;0;0;1;0;1;0;0;1;0;14;110;12;F
0;1;0;0;1;0;2;1;0;1;15;78;12;F
0;0;0;0;0;0;0;0;0;0;6;32;4;F
1;0;0;1;0;0;0;0;0;0;11;51;9;F
0;0;1;1;0;1;0;0;1;0;25;119;21;F
1;1;0;1;1;1;1;1;3;1;21;125;18;F
3;0;1;0;1;1;1;1;3;1;20;113;17;F
0;0;0;0;0;0;0;0;1;0;16;76;13;F
0;0;0;0;0;0;0;0;0;0;14;67;12;F
0;0;0;0;0;0;0;0;0;0;11;54;8;F
1;0;0;0;1;0;1;1;1;1;16;96;15;F
0;0;0;0;0;0;0;0;0;0;2;1;0;F
0;0;0;0;0;0;0;0;0;0;13;58;8;F
0;1;0;0;0;0;0;0;1;1;14;82;13;F
1;0;0;1;0;1;0;0;1;0;17;84;14;F
0;1;0;1;1;0;0;1;0;2;22;121;19;F
0;0;0;0;0;0;0;0;0;0;6;35;5;F
0;0;0;0;0;0;0;0;0;0;5;28;4;F
1;0;1;0;0;1;0;0;1;0;20;90;13;F
1;0;0;1;0;1;0;0;1;0;17;106;15;F
0;0;0;0;0;0;0;0;0;0;7;22;4;F
0;0;0;0;0;0;0;0;0;0;5;29;4;F
0;0;0;0;0;0;0;0;0;0;13;68;11;F
0;0;0;0;0;0;0;0;0;0;21;117;17;F
0;1;0;0;0;0;0;0;0;1;16;89;15;F
0;0;0;0;0;0;0;0;0;0;5;27;4;F
0;0;0;0;1;0;1;0;0;2;11;64;9;F
0;0;0;0;0;0;0;0;0;1;7;40;6;F
0;0;0;0;0;0;0;1;0;2;10;64;9;F
0;0;0;0;0;0;0;0;0;0;8;47;7;F
0;1;0;0;1;0;0;1;0;2;17;105;12;F
0;0;0;0;0;0;1;1;1;1;21;106;18;F
1;0;0;1;0;1;1;0;1;0;22;110;18;F
0;0;0;0;0;0;0;0;0;1;16;92;12;F
0;0;0;0;0;0;0;0;0;0;7;22;4;F
0;0;0;0;0;0;0;0;0;0;10;53;8;F
0;0;0;0;0;0;0;1;0;1;22;133;19;F
2;1;1;2;0;1;0;0;1;1;13;65;10;F
0;0;0;0;0;0;0;0;0;0;15;73;13;F
0;0;0;0;0;0;0;0;1;0;20;102;16;F
0;0;0;0;0;0;0;0;0;0;7;22;4;F
0;0;0;0;0;0;0;0;0;0;4;29;4;F
0;0;0;0;0;0;0;1;0;1;6;39;5;F
1;0;1;0;0;1;0;0;1;0;21;91;13;F
0;0;1;0;0;0;1;0;2;0;10;51;8;F
0;0;0;0;2;0;1;2;0;2;17;89;15;F
0;0;0;0;0;0;0;0;0;0;7;22;4;F
0;0;0;0;0;0;0;0;0;0;7;22;4;F
0;0;0;0;0;0;0;0;0;0;11;59;10;F
0;0;0;0;0;0;0;0;0;0;5;32;4;F
0;0;0;0;0;0;0;0;0;0;14;78;13;F
0;0;0;0;0;1;0;0;1;0;22;109;22;F
0;0;0;0;0;0;0;0;0;0;15;85;10;F
0;0;0;0;0;0;0;0;0;0;7;22;4;F
0;0;0;0;0;0;0;2;0;0;26;123;24;F
0;0;0;0;0;0;0;0;0;0;7;22;4;F
0;0;0;0;0;0;0;0;1;0;13;69;10;F
0;0;0;0;0;0;0;0;0;0;7;22;4;F
0;0;0;0;0;0;0;0;0;0;9;39;6;F
0;1;0;0;0;0;0;2;0;1;12;54;8;F
1;0;0;1;0;1;0;0;1;0;20;105;15;F
0;0;0;0;0;0;0;0;0;0;6;28;4;F
0;0;0;0;0;0;0;1;0;1;8;47;6;F
2;1;1;0;0;1;0;1;4;0;23;122;19;M
0;0;0;0;0;0;0;0;0;1;16;81;15;M
0;0;0;0;0;0;0;0;0;0;14;75;12;M
1;0;0;1;0;1;0;0;3;0;17;89;14;M
1;2;0;0;1;1;1;2;1;2;25;118;24;M
0;0;0;0;0;0;0;1;0;0;20;104;17;M
0;0;0;0;0;0;0;0;0;0;7;22;4;M
0;0;0;0;0;0;1;0;0;0;9;58;8;M
0;0;0;0;0;0;0;0;0;0;6;32;4;M
0;0;0;0;0;0;0;0;0;0;22;112;19;M
1;0;0;1;0;0;2;0;2;0;24;117;20;M
0;0;0;0;0;0;0;0;0;1;11;52;10;M
0;0;0;0;0;0;0;0;1;0;8;50;7;M
0;0;0;0;0;0;0;1;0;1;11;74;10;M
0;0;0;0;0;0;0;0;0;0;6;22;5;M
0;0;0;0;0;0;0;0;0;0;7;38;7;M
0;0;0;0;0;0;0;0;0;0;18;69;13;M
1;2;1;0;2;1;1;1;2;2;21;95;20;M
1;1;0;0;1;0;1;1;0;1;6;25;4;M
0;0;0;0;0;0;0;0;0;1;20;115;19;M
0;0;0;1;0;1;1;0;1;0;20;105;17;M
0;2;0;2;1;3;1;2;3;2;14;70;11;M
0;1;0;0;1;0;0;1;0;2;17;105;12;M
0;1;0;0;1;0;1;2;0;2;23;119;21;M
0;0;0;0;0;0;0;0;0;0;11;52;8;M
0;0;0;1;0;1;1;0;1;0;19;87;15;M
0;0;0;0;0;0;1;0;0;0;14;64;11;M
1;0;0;1;0;2;0;0;2;0;13;62;11;M
1;1;0;0;1;0;1;1;0;1;6;25;4;M
0;1;0;0;0;0;0;0;1;0;13;70;11;M
0;0;0;0;1;0;0;0;0;1;4;15;3;M
0;1;0;0;0;0;0;1;0;1;8;37;5;M
0;1;0;0;0;2;0;0;2;0;21;115;18;M
0;0;0;0;0;0;0;0;0;0;19;84;17;M
0;1;0;0;1;0;2;1;0;1;14;77;12;M
0;0;0;0;0;0;0;1;0;1;12;89;11;M
0;0;0;0;0;0;0;0;0;0;16;78;14;M
0;0;0;0;0;0;0;0;0;0;4;16;3;M
0;0;0;0;0;0;0;0;0;0;11;61;10;M
0;0;0;0;0;0;0;1;0;1;6;31;4;M
1;0;0;0;0;0;0;0;1;0;16;99;14;M
0;0;0;0;0;1;0;0;1;0;12;71;10;M
0;0;0;0;0;1;0;1;1;0;17;106;15;M
0;0;0;0;0;1;1;0;1;0;7;33;6;M
1;1;0;1;0;1;1;0;1;0;14;70;12;M
0;1;0;0;0;0;0;2;1;1;21;119;19;M
0;0;0;0;0;0;0;1;0;0;12;64;10;M
0;0;0;0;0;1;1;0;1;0;22;121;20;M
0;0;0;0;0;0;0;0;1;0;16;98;13;M
0;0;0;0;2;0;1;2;0;2;12;62;11;M
0;0;0;0;0;0;0;0;0;0;11;45;6;M
0;0;0;0;0;0;0;1;0;1;12;55;8;M
1;1;0;1;0;0;1;0;1;1;13;86;13;M
0;0;0;1;0;0;0;0;1;0;20;122;14;M
0;0;0;0;0;0;0;1;0;0;15;73;12;M
0;0;0;0;0;0;1;0;0;0;19;87;17;M
0;0;0;0;0;0;0;0;0;0;9;51;8;M
1;1;0;1;0;1;2;0;1;1;13;77;11;M
0;1;0;0;1;0;2;1;0;1;17;93;14;M
1;1;0;1;0;0;0;0;1;0;9;56;8;M
0;0;0;0;0;0;0;0;0;0;22;112;19;M
0;0;0;0;0;0;0;0;0;0;5;29;4;M
0;2;0;2;1;3;1;2;3;2;14;70;11;M
0;0;0;0;0;0;0;0;1;0;19;85;12;M
1;0;0;1;0;1;1;1;1;1;19;117;18;M
0;0;0;0;0;0;1;0;0;0;20;92;18;M
1;0;0;0;0;1;0;0;1;0;19;107;17;M
0;1;0;0;0;0;0;1;0;1;15;74;11;M
0;0;0;0;0;0;1;0;0;0;15;78;14;M
1;1;0;0;1;0;0;1;1;2;21;105;19;M
0;1;0;0;1;0;2;1;0;1;15;78;12;M
0;0;0;1;0;1;1;1;1;1;18;87;14;M
0;0;0;0;0;0;0;0;0;0;5;40;5;M
0;0;0;0;0;0;0;1;0;0;17;79;15;M
0;0;0;0;0;0;0;0;0;0;17;89;16;M
0;2;0;0;1;0;0;1;0;1;9;43;6;M
